CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program3', previousProgramName='Program4', previousProgramStartTime=1733909374215, currentProgramName='Program3', currentProgramStartTime=1733918674215, cycleTime=9300}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program1', previousProgramName='Program3', previousProgramStartTime=1733900434215, currentProgramName='Program1', currentProgramStartTime=1733929174215, cycleTime=28740}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program1', previousProgramName='Program1', previousProgramStartTime=1733929174215, currentProgramName='Program1', currentProgramStartTime=1733938234215, cycleTime=9060}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program4', previousProgramName='Program3', previousProgramStartTime=1733918674215, currentProgramName='Program4', currentProgramStartTime=1733950354215, cycleTime=31680}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program4', previousProgramName='Program1', previousProgramStartTime=1733938234215, currentProgramName='Program4', currentProgramStartTime=1733960314215, cycleTime=22080}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program2', previousProgramName='Program4', previousProgramStartTime=1733960314215, currentProgramName='Program2', currentProgramStartTime=1733967334215, cycleTime=7020}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program2', previousProgramName='Program2', previousProgramStartTime=1733975794215, currentProgramName='Program2', currentProgramStartTime=1733984914215, cycleTime=9120}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program4', previousProgramName='Program2', previousProgramStartTime=1733984914215, currentProgramName='Program4', currentProgramStartTime=1733995054215, cycleTime=10140}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program2', previousProgramName='Program2', previousProgramStartTime=1733967334215, currentProgramName='Program2', currentProgramStartTime=1734003934215, cycleTime=36600}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program4', previousProgramName='Program2', previousProgramStartTime=1734003934215, currentProgramName='Program4', currentProgramStartTime=1734014434215, cycleTime=10500}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program3', previousProgramName='Program4', previousProgramStartTime=1734014434215, currentProgramName='Program3', currentProgramStartTime=1734023014215, cycleTime=8580}
